id,razao social,endereco,bairro,bandeira,latitude,longitude
105,Petrocal Petroleo Cavalcanti Limitada,"Avenida Marechal Mascarenhas de Morais, 1854",Imbiribeira,PETROBRAS DISTRIBUIDORA S.A.,8.098773999999999,34.910327
106,A B Silva e Cia Ltda,"Avenida Beberibe, 1021",Arruda,PETROBRAS DISTRIBUIDORA S.A.,8.0284357,34.8931574
107,Posto Ilheus Ltda,"Rua General Joaquim Inacio, 425",Paissandu,IPIRANGA,8.063082699999999,34.8954549
108,Posto Apipucos Ltda,"Rua Professor Trajano de Mendonca, 440",Torre,RAIZEN,8.044053,34.909476
109,Cemopel Cm Petroleo Ltda,"Rua Rio Azul, 219",Boa Viagem,RAIZEN,8.134176799999999,34.9093948
110,Energy Derivados de Petroleo Ltda,"Rua Jaticy, 53",Imbiribeira,PETROBRAS DISTRIBUIDORA S.A.,8.1153005,34.9127029
111,Mega Posto Ltda,"Avenida Marechal Masc.de Moraes, 1022",Imbiribeira,IPIRANGA,8.091654,34.908837
112,Posto Capri Comércio de Petróleo Ltda.,"Avenida General San Martins, 625",Cordeiro,TDC DISTRIBUIDORA,8.0553452,34.9237417
113,Petrocal Petroleo Cavalcanti Limitada,"Rua Sao Mateus, 26",Iputinga,PETROBRAS DISTRIBUIDORA S.A.,8.0414007,34.9368501
114,Teixeira & Filhos Ltda.,"Avenida Norte, 6999",Casa Amarela,BRANCA,8.0194833,34.9274993
115,Posto Sejal Ltda.,"Avenida Militar, 545",Recife,PETROBRAS DISTRIBUIDORA S.A.,8.0518662,34.872319
116,Posto Leão da Ilha Ltda.,"Avenida Engenheiro Abdias de Carvalho, 1055",Ilha do Retiro,PETROBRAS DISTRIBUIDORA S.A.,8.0622562,34.9093351
117,Posto Apolo Ltda,"Avenida Cais do Apolo, 790",Recife,IPIRANGA,8.055335099999999,34.8718359
118,Petrocal Petroleo Cavalcanti Limitada,"Avenida Engenheiro Abdias de Carvalho, 720",Torroes,PETROBRAS DISTRIBUIDORA S.A.,8.0626508,34.9329973
119,P. G. Comercio de Combustiveis Ltda - Me,"Rua Monte Castelo, 35",Boa Vista,IPIRANGA,8.0503275,34.8901969
120,Posto Nova Madalena Ltda.,"Rua Real da Torre, 430",Madalena,PETROBRAS DISTRIBUIDORA S.A.,8.053347,34.9084253
121,Posto Modelo Ltda,"Avenida Caxanga, 2864",Iputinga,RAIZEN,8.044094099999999,34.9321674
122,Cjcm Petroleo Ltda.,"Rua Ernesto de Paula Santos, 525",Boa Viagem,RAIZEN,8.12469,34.9018542
123,Posto Modelo Ltda,"Avenida Professor Joao Medeiros, 233",Boa Viagem,IPIRANGA,8.1175207,34.9008331
124,Posto Abastecimento Sao Jose Ltda,"Rua Imperial, 457 0",São José,PETROBRAS DISTRIBUIDORA S.A.,8.0732465,34.8857365
125,Posto Campus de Combustiveis Ltda,"Rua Benfica, 919",Madalena,RAIZEN,8.0584346,34.907305
126,Petrovel Petróleo Veloso Ltda.,"Avenida Alfredo Lisboa, 173 Terreo",Bairro do Recife,PETROBRAS DISTRIBUIDORA S.A.,8.065403,34.872612
